#Observed Passband,filter
2-10_keV_(Chandra),Nan
0.5-2_keV_(Chandra),Nan
FUV_AB_(GALEX),FUV
FUV_(GALEX)_AB,FUV
FUV_(GALEX),FUV
NUV_AB_(GALEX),NUV
NUV_(GALEX)_AB,NUV
NUV_(GALEX),NUV
u_(SDSS_Model)_AB,sdss.up
u_(SDSS)_AB,sdss.up
g_(SDSS_Model)_AB,sdss.gp
g_(SDSS)_AB,sdss.gp
r_(SDSS_Model)_AB,sdss.rp
r_(SDSS)_AB,sdss.rp
R_(Johnson),RJ
i_(SDSS_Model)_AB,sdss.ip
i_(SDSS)_AB,sdss.ip
z_(SDSS_Model)_AB,sdss.zp
z_(SDSS)_AB,sdss.zp
DeCaLs_g,legacyG
DeCaLs_r,legacyR
DeCaLs_z,legacyZ
J_Kron_(2MASS_LGA),2mass.J
H_Kron_(2MASS_LGA),2mass.H
K_Kron_(2MASS_LGA),2mass.Ks
J_14arcsec_(2MASS),2mass.J
H_14arcsec_(2MASS),2mass.H
K_s_14arcsec_(2MASS),2mass.Ks
J_AB_(2MASS),2mass.J
J_(2MASS)_AB,2mass.J
H_(2MASS)_AB,2mass.H
Ks_(2MASS)_AB,2mass.Ks
J_(2MASS),2mass.J
H_(2MASS),2mass.H
K_(2MASS),2mass.Ks
J_(2MASS/CTIO),2mass.J
H_(2MASS/CTIO),2mass.H
K_s_(2MASS/CTIO),2mass.Ks
W1_(WISE),WISE1
W1_(WISE)_AB,WISE1
3.4_microns_WISE_AB,WISE1
3.6_microns_(IRAC),IRAC1
4.5_microns_(IRAC),IRAC2
W2_(WISE),WISE2
W2_(WISE)_AB,WISE2
4.6_microns_WISE_AB,WISE2
5.8_microns_(IRAC),IRAC3
8.0_microns_(IRAC),IRAC4
9_microns_(AKARI),S9W
W3_(WISE),WISE3
W3_(WISE)_AB,WISE3
12_microns_WISE_AB,WISE3
W4_(WISE),WISE4
W4_(WISE)_AB,WISE4
22_microns_WISE_AB,WISE4
24_microns_MIPS_AB,MIPS1
18_microns_(AKARI),L18W
24_microns_(MIPS),MIPS1
24_microns_MIPS_AB,MIPS1
70_microns_(MIPS),MIPS2
90_microns_(AKARI),Wide-S
140_mcicrons_(AKARI),Wide-L
160_microns_(MIPS),MIPS3
250_microns_(SPIRE),spire1
350_microns_(SPIRE),spire2
500_microns_(SPIRE),spire3
B_(Cousins),cousinsB
R_(Cousins),cousinsR
V_(Cousins),cousinsV
12_microns_(IRAS),IRAS1
25_microns_(IRAS),IRAS2
60_microns_(IRAS),IRAS3
100_microns_(IRAS),IRAS4
V_(Johnson),johnsonV
R_(Johnson),johnsonR
K_(Johnson),johnsonK